id;Entity;name;bio
0;Regulus;Regulus Arcturus Black;Brother of Sirius. Used to be a Death Eater but defected.
1;Sirius;Sirius Black;Best friend of James Potter and godfather of Harry.
2;Lavander;Lavender Brown;Killed by a werewolf. She was a gryffindor student who dated Ron. 
3;Cho;Cho Chang;Ravenclaw student who dated Cedric Diggory and Harry Potter.
5;Crabbe;Vincent Crabbe;Slytherin student who was best friends with Goyle and followed Draco.
6;Mr Crouch;"Bartemius ""Barty"" Crouch Sr.";Head of the department of Internation Magical Cooperation. Killed by his son.
7;Barty Crouch;"Bartemius ""Barty"" Crouch Jr.";Death Eater who impersonated Alastor Moody.
8;Fleur;Fleur Delacour;Participated in the Triwizard tournament and married Bill Weasley.
9;Cedric;Cedric Diggory;Participated in the Triwizard tournament and got killed by Voldemort.
10;Aberforth;Aberforth Dumbledore;Albus' brother and owner of Hog's Head.
11;Dumbledore;Albus Dumbledore;Headmaster of Hogwards killed by Snape.
12;Dubley;Dudley Dursley;Muggle son of Vernon and Petunia and first-cousin of Harry.
13;Petunia;Petunia Dursley;Harry's aunt and sister of Lily.
14;Vernon;Vernon Dursley;Harry's muggle uncle.
15;Filch;Argus Filch;Squib caretake of Hogwards.
16;Seamus;Seamus Finnigan;Harry's friend and member of Dumbledore's army.
17;Nicolas Flamel;Nicolas Flamel;Creator of the Philosopher's Stone.
18;Cornelius;Cornelius Fudge;Minister of Magic that was forced to resign.
20;Goyle;Gregory Goyle;Best friend of Crabbe. Slytherin student and dies by falling into Fiendfyre.
21;Hermione;Hermione Granger;One of Harry's best friend and marries Ron Weasley.
22;Hagrid;Rubeus Hagrid;Half-giant who loves Harry. He was the keeper of Keys and Grounds at Hogwards.
23;Karkaroff;Igor Karkaroff;Highmaster of Durmstrang and reformed death-eater.
24;Krum;Viktor Krum;Participant in the Triwizard tournament. Dated Hermione.
25;Bellatrix;Bellatrix Lestrange;Death Eater who was killed by Molly Weasley.
26;Alice Longbottom;Alice Longbottom;Mother of Neville who was tortured by Bellatrix.
27;Frank Longbottom;Frank Longbottom;Father of Neville who was tortured by Bellatrix.
28;Neville;Neville Longbottom;Gryffindor student who was a member of Dumbledore's army.
29;Luna;Luna Lovegood;Ravenclaw student who was a member of Dumbledore's army.
30;Xenophilius;Xenophilius Lovegood;Father of Luna and editor of The Quibbler.
31;Lupin;Remus Lupin;Friend of James Potter and werewolf. He married Nymphadora.
32;Draco;Draco Malfoy;Slytherin student who had many arguments with Harry.
33;Lucius;Lucius Malfoy;Father of Draco and influential Death-Eater.
34;Narcissa;Narcissa Malfoy;Mother of Draco and sister of Bellatrix.
35;Olympe;Olympe Maxime;Half-giantess and headmistress of Beauxbatons.
36;McGonagall;Minerva McGonagall;Professor of Transfiguration and head of Gryffindor.
37;Moody;"Alastor ""Mad-Eye"" Moody";Retired auror and member of the order of the Phoenix. Killed by Voldemort.
38;Wormtail;Peter Pettigrew;Betrays James and Lily Potter. Follower of Voldemort.
39;Harry;Harry Potter;The boy who lived. Main character of the series.
40;James Potter;James Potter;Father of Harry. Murdered by Voldemort.
41;Lily Potter;Lily Potter;Mother of Harry. Murdered by Voldemort.
42;Quirinus Quirrell;Quirinus Quirrell;Possessed by Voldemort. Defence against the Dark Arts professor.
44;Mary Riddle;Mary Riddle;Muggle mother of Voldemort who was killed by him.
45;Voldemort;Lord Voldemort;The antagonist of the series who murdered many.
46;Rita Skeeter;Rita Skeeter;Reporter at the Daily Prophet.
47;Snape;Severus Snape;Head of the Slytherin house and saved Harry in many occasions.
48;Nymphadora;Nymphadora Tonks;Married Remus Lupin and was killed by Bellatrix.
49;Umbridge;Dolores Umbridge;Senior undersecretary to the Ministry of Magic. Eventually sent to Azkaban.
50;Arthur;Arthur Weasley;Father of the Weasleys and member of the Order of the Phoenix.
51;Bill;Bill Weasley;Oldest son of Arthur and Molly. Husband of Fleur. 
52;Charlie;Charlie Weasley;Second son of Arthur and Molly. Works with dragons in Romania.
53;Fred;Fred Weasley;Identical twin with George and co-owner of Weasleys' Wizard Wheezes
54;George;George Weasley;Identical twin with Fred and co-owner of Weasleys' Wizard Wheezes
55;Ginny;Ginny Weasley;Marries Harry Potter and only daughter of Molly and Arthur.
56;Molly;Molly Weasley;Wife of Arthur and mother of the Weasleys. Kills Bellatrix.
57;Percy;Percy Weasley;Third son of Arthur and Molly. He is a Gryffindor prefect.
58;Ron;Ron Weasley;Harry's best friend. Marries Hermione.
59;Dobby;Dobby;House elf and friend of Harry. He is killed by Bellatrix.
60;Fluffy;Fluffy;Three-headed dog belonging to Rubeus Hagrid.
61;Hedwig;Hedwig;Harry's owl.
62;Myrtle;Moaning Myrtle;Ghost at Hogwards.
63;Aragog;Aragog;Acromantula belonging to Rubeus Hagrid.
64;Grawp;Grawp;Giant-half brother of Hagrid.